College,count,OverallRank,RankDeficit,OverallReDraft
Alabama,1,8.0,-44.0,52.0
Arizona,9,9.666666666666666,-121.0,23.11111111111111
Arizona State,1,3.0,2.0,1.0
Arkansas,1,22.0,-2.0,24.0
BYU,1,10.0,-42.0,52.0
Baylor,3,15.333333333333334,-26.0,24.0
Boise State,1,22.0,-27.0,49.0
Boston College,2,18.5,-10.0,23.5
Butler,1,9.0,5.0,4.0
Cal,2,12.0,-1.0,12.5
Cincinnati,1,28.0,-13.0,41.0
Clemson,1,23.0,12.0,11.0
Cleveland State University,1,28.0,-26.0,54.0
Colorado,3,22.333333333333332,2.0,21.666666666666668
Creighton,2,13.5,-46.0,36.5
Davidson,1,7.0,5.0,2.0
Duke,18,12.277777777777779,-225.0,24.77777777777778
Florida,2,9.5,-36.0,27.5
Florida State,4,18.0,-17.0,22.25
Fresno State,1,10.0,9.0,1.0
Georgetown,3,9.0,2.0,8.333333333333334
Georgia,1,8.0,-1.0,9.0
Georgia State University,1,28.0,0.0,28.0
Georgia Tech,3,13.333333333333334,2.0,12.666666666666666
Gonzaga,4,12.25,-23.0,18.0
IUPUI,1,26.0,21.0,5.0
Illinois,1,11.0,-9.0,20.0
Indiana,6,12.333333333333334,-57.0,21.833333333333332
Iowa State,2,18.5,-28.0,32.5
Kansas,12,10.416666666666666,-265.0,32.5
Kansas State,1,2.0,-49.0,51.0
Kentucky,25,12.04,-185.0,19.44
LSU,3,13.333333333333334,-37.0,25.666666666666668
Lehigh,1,10.0,0.0,10.0
Louisiana,1,10.0,0.0,10.0
Louisville,5,15.0,-38.0,22.6
Marquette,3,26.0,-11.0,29.666666666666668
Maryland,3,17.333333333333332,-5.0,19.0
Memphis,3,9.0,-39.0,22.0
Miami (FL),2,18.0,-32.0,34.0
Michigan,7,17.714285714285715,-89.0,30.428571428571427
Michigan State,5,12.8,-17.0,16.2
Mississippi State,1,27.0,-7.0,34.0
Missouri,1,27.0,11.0,16.0
Morehead State University,1,22.0,13.0,9.0
Murray State,1,14.0,-22.0,36.0
NC State,3,14.0,-57.0,33.0
Nevada,2,17.0,-31.0,32.5
New Mexico,2,25.0,-12.0,31.0
New Mexico State,1,27.0,25.0,2.0
Notre Dame,1,19.0,-5.0,24.0
Ohio State,5,14.4,-39.0,22.2
Oklahoma,3,4.0,-2.0,4.666666666666667
Oklahoma State,2,13.0,-25.0,25.5
Oregon,1,15.0,-26.0,41.0
Oregon State,1,24.0,-18.0,42.0
Pitt,1,12.0,9.0,3.0
Providence,2,15.0,-24.0,27.0
Purdue,2,26.5,-30.0,41.5
Rider University,1,12.0,-11.0,23.0
Saint Joseph's,1,21.0,-22.0,43.0
San Diego State,1,15.0,14.0,1.0
St. Bonaventure,1,19.0,-37.0,56.0
St. John's,1,15.0,7.0,8.0
Stanford,3,18.0,-5.0,19.666666666666668
Syracuse,10,16.8,-184.0,35.2
Tennessee,1,19.0,9.0,10.0
Texas,9,16.666666666666668,-10.0,17.77777777777778
Texas A&M,1,27.0,18.0,9.0
Texas Tech,1,16.0,-9.0,25.0
UCLA,12,16.583333333333332,10.0,15.75
UConn,5,11.2,-15.0,14.2
UNC,13,18.615384615384617,-109.0,27.0
UNLV,2,9.0,-73.0,45.5
USC,4,13.5,7.0,11.75
University of South Florida,1,25.0,-15.0,40.0
Utah,3,18.666666666666668,30.0,8.666666666666666
Vanderbilt,4,25.0,-27.0,31.75
Villanova,4,21.75,44.0,10.75
Virginia,1,21.0,0.0,21.0
Virginia Commonwealth,2,17.5,-30.0,32.5
Wake Forest,4,15.5,24.0,9.5
Washington,7,17.857142857142858,-76.0,28.714285714285715
Washington State,1,11.0,3.0,8.0
Weber State,1,6.0,5.0,1.0
West Virginia,1,8.0,-30.0,38.0
Western Kentucky,1,22.0,10.0,12.0
Wichita State,1,26.0,17.0,9.0
Wisconsin,2,13.5,-11.0,19.0
Wyoming,1,27.0,24.0,3.0
Xavier,1,27.0,-9.0,36.0
